dept_code;dept_name;muni_code;muni_name;muni_name;poblacion_2025;CEN/POP;VOTE DIF;AVEWIN;LANDSLIDE;area_km2;Pop/km2;mesas_total;censo_mujeres;censo_hombres;puestos;Personas/puesto;mesas_censo;mesas_escrutadas;Personas/mesa;DIF-MESAS;Elect/poblacion;censo_electoral;votantes;% votantes;votos_validos;votos_nulos;votos_blancos;cepeda;espriella;% blanco;% nulos;%cepeda;%espriella;SUM;DIF
27;SANTANDER;219;VETAS;VETAS;2.224;66,41 %;936;TRUE;TRUE;93;24;5;698;779;1;1.477;5;5;295;0;66,41 %;1.477;1.082;73,26 %;1.075;7;15;62;998;1,39 %;0,65 %;5,73 %;92,24 %;100,00 %;0
27;SANTANDER;184;SAN JOAQUIN;SAN JOAQUIN;2.266;98,19 %;929;TRUE;TRUE;192;12;7;1.050;1.175;1;2.225;7;7;318;0;98,19 %;2.225;1.406;63,19 %;1.398;8;15;227;1.156;1,07 %;0,57 %;16,15 %;82,22 %;100,00 %;0
27;SANTANDER;31;CALIFORNIA;CALIFORNIA;2.291;79,48 %;861;TRUE;TRUE;261;9;6;872;949;1;1.821;6;6;304;0;79,48 %;1.821;1.314;72,16 %;1.305;9;18;213;1.074;1,37 %;0,68 %;16,21 %;81,74 %;100,00 %;0
7;BOYACA;223;RONDON;RONDON;2.420;93,35 %;834;TRUE;TRUE;251;10;7;1.135;1.124;2;1.130;7;7;323;0;93,35 %;2.259;1.568;69,41 %;1.561;7;19;354;1.188;1,21 %;0,45 %;22,58 %;75,77 %;100,00 %;0
27;SANTANDER;109;HATO;HATO;2.432;89,88 %;935;TRUE;TRUE;180;14;8;1.047;1.139;2;1.093;8;8;273;0;89,88 %;2.186;1.577;72,14 %;1.564;11;21;304;1.239;1,33 %;0,70 %;19,28 %;78,57 %;99,87 %;-2
7;BOYACA;184;PAJARITO;PAJARITO;2.462;72,38 %;520;TRUE;TRUE;322;8;6;834;948;2;891;6;6;297;0;72,38 %;1.782;1.226;68,80 %;1.222;3;14;344;864;1,14 %;0,24 %;28,06 %;70,47 %;99,92 %;-1
27;SANTANDER;100;GUAPOTA;GUAPOTA;2.476;82,63 %;1.188;TRUE;TRUE;66;38;7;961;1.085;2;1.023;7;7;292;0;82,63 %;2.046;1.504;73,51 %;1.497;5;13;148;1.336;0,86 %;0,33 %;9,84 %;88,83 %;99,87 %;-2
7;BOYACA;178;PACHAVITA;PACHAVITA;2.489;78,18 %;814;TRUE;TRUE;68;37;6;923;1.023;1;1.946;6;6;324;0;78,18 %;1.946;1.414;72,66 %;1.393;19;9;285;1.099;0,64 %;1,34 %;20,16 %;77,72 %;99,86 %;-2
27;SANTANDER;195;SANTA BARBARA;SANTA BARBARA;2.512;94,51 %;1.198;TRUE;TRUE;224;11;9;1.072;1.302;4;594;9;9;264;0;94,51 %;2.374;1.720;72,45 %;1.709;10;19;246;1.444;1,10 %;0,58 %;14,30 %;83,95 %;99,94 %;-1
27;SANTANDER;190;SAN MIGUEL;SAN MIGUEL;2.543;85,88 %;878;TRUE;TRUE;71;36;10;984;1.200;6;364;10;10;218;0;85,88 %;2.184;1.461;66,90 %;1.453;6;15;280;1.158;1,03 %;0,41 %;19,16 %;79,26 %;99,86 %;-2
15;CUNDINAMARCA;133;JERUSALEN;JERUSALEN;2.553;111,28 %;807;TRUE;TRUE;236;11;9;1.252;1.589;1;2.841;9;9;316;0;111,28 %;2.841;1.819;64,03 %;1.816;2;11;499;1.306;0,60 %;0,11 %;27,43 %;71,80 %;99,95 %;-1
7;BOYACA;78;CHIVOR;CHIVOR;2.576;73,64 %;939;TRUE;TRUE;103;25;7;794;1.103;2;949;7;7;271;0;73,64 %;1.897;1.262;66,53 %;1.256;5;13;152;1.091;1,03 %;0,40 %;12,04 %;86,45 %;99,92 %;-1
7;BOYACA;55;CORRALES;CORRALES;2.595;93,37 %;480;TRUE;FALSE;60;43;7;1.185;1.238;1;2.423;7;7;346;0;93,37 %;2.423;1.845;76,15 %;1.827;15;29;659;1.139;1,57 %;0,81 %;35,72 %;61,73 %;99,84 %;-3
9;CALDAS;67;MARULANDA;MARULANDA;2.614;90,24 %;782;TRUE;TRUE;417;6;9;1.061;1.298;4;590;9;9;262;0;90,24 %;2.359;1.285;54,47 %;1.254;26;34;219;1.001;2,65 %;2,02 %;17,04 %;77,90 %;99,61 %;-5
27;SANTANDER;76;ENCINO;ENCINO;2.650;82,49 %;1.340;TRUE;TRUE;417;6;7;1.020;1.166;2;1.093;7;7;312;0;82,49 %;2.186;1.608;73,56 %;1.598;9;8;125;1.465;0,50 %;0,56 %;7,77 %;91,11 %;99,94 %;-1
7;BOYACA;193;PAYA;PAYA;2.687;65,61 %;833;TRUE;TRUE;435;6;6;798;965;3;588;6;6;294;0;65,61 %;1.763;1.202;68,18 %;1.193;6;12;174;1.007;1,00 %;0,50 %;14,48 %;83,78 %;99,75 %;-3
46;CASANARE;120;CHAMEZA;CHAMEZA;2.691;69,04 %;672;TRUE;TRUE;316;9;6;889;969;1;1.858;6;6;310;0;69,04 %;1.858;1.300;69,97 %;1.292;8;20;300;972;1,54 %;0,62 %;23,08 %;74,77 %;100,00 %;0
27;SANTANDER;154;PALMAS DEL SOCORRO;PALMAS DEL SOCORRO;2.694;99,15 %;1.482;TRUE;TRUE;57;47;8;1.241;1.430;1;2.671;8;8;334;0;99,15 %;2.671;2.011;75,29 %;2.000;8;32;243;1.725;1,59 %;0,40 %;12,08 %;85,78 %;99,85 %;-3
15;CUNDINAMARCA;172;NARIÑO;NARIÑO;2.718;108,06 %;94;TRUE;FALSE;50;54;9;1.380;1.557;1;2.937;9;9;326;0;108,06 %;2.937;1.908;64,96 %;1.899;5;17;894;988;0,89 %;0,26 %;46,86 %;51,78 %;99,79 %;-4
7;BOYACA;130;LA CAPILLA;LA CAPILLA;2.744;89,61 %;871;TRUE;TRUE;57;48;7;1.163;1.296;1;2.459;7;7;351;0;89,61 %;2.459;1.762;71,66 %;1.752;8;19;431;1.302;1,08 %;0,45 %;24,46 %;73,89 %;99,89 %;-2
